('fs-ham-0570940', '5.1.291', 'woo’t'),
('fs-ham-0570990', '5.1.293', 'Woo’t'),
('fs-ham-0571640', '5.1.296', 'will'),
('fs-ham-0572335', '5.1.300', '’lt'),
('fs-ham-0572680', '5.1.303', 'will'),
('fs-ham-0573080', '5.1.306', 'will'),
('fs-ham-0573770', '5.1.311', 'will'),
('fs-ham-0573860', '5.1.311', 'will'),
('fs-ham-0576050', '5.2.5', 'would'),
('fs-ham-0577110', '5.2.12', 'will'),
('fs-ham-0579610', '5.2.31', 'wilt'),
('fs-ham-0581130', '5.2.40', 'Wilt'),
('fs-ham-0587010', '5.2.83', 'will'),
('fs-ham-0590510', '5.2.104', 'will'),
('fs-ham-0594130', '5.2.124', 'would'),
('fs-ham-0594480', '5.2.127', 'would'),
('fs-ham-0595640', '5.2.132', 'would'),
('fs-ham-0596590', '5.2.139', 'will'),
('fs-ham-0597490', '5.2.147', 'would'),
('fs-ham-0597750', '5.2.148', 'would'),
('fs-ham-0601240', '5.2.171', 'would'),
('fs-ham-0601570', '5.2.173', 'would'),
('fs-ham-0603030', '5.2.181', 'would'),
('fs-ham-0603180', '5.2.182', 'would'),
('fs-ham-0603670', '5.2.186', 'will'),
('fs-ham-0604230', '5.2.188', 'willing'),
('fs-ham-0604400', '5.2.189', 'will'),
('fs-ham-0604620', '5.2.190', 'will'),
('fs-ham-0605140', '5.2.194', 'will'),
('fs-ham-0608220', '5.2.212', 'will'),
('fs-ham-0609610', '5.2.223', 'will'),
('fs-ham-0610210', '5.2.226', 'wouldst'),
('fs-ham-0610880', '5.2.230', 'would'),
('fs-ham-0611170', '5.2.231', 'will'),
('fs-ham-0612070', '5.2.235', 'will'),
('fs-ham-0612280', '5.2.236', 'will'),
('fs-ham-0617100', '5.2.262', 'will'),
('fs-ham-0617800', '5.2.267', 'will'),
('fs-ham-0617980', '5.2.269', 'will'),
('fs-ham-0625330', '5.2.318', 'will'),
('fs-ham-0639030', '5.2.401', 'would'),
('fs-ham-0643950', '5.2.435', 'will'),
